review_text,rating,label,source
Unbelievable quality buy immediately!!! This phone case is incredible. This changed my life instantly and forever. Totally the best product online!!!,1.0,1,synthetic_suspicious_template
"This traveler usually gives higher ratings to local services, restaurants, pubs/bars, while gyms, bakeries receive lower scores. The preference pattern looks detailed and organic.",2.013809523809524,0,uci_travel_review_ratings_485
Absolutely amazing!!! this traveler is perfect and 100% recommended!!! This traveler usually gives higher ratings to resorts malls juice bars while Buy now buy now buy now!!!,5.0,1,synthetic_suspicious_augmented
"This traveler usually gives higher ratings to gardens, art galleries, view points, while juice bars, bakeries receive lower scores. The preference pattern looks detailed and organic.",2.044166666666667,0,uci_travel_review_ratings_485
Absolutely amazing!!! very enjoyable is perfect and 100% recommended!!! So fun Very enjoyable and had a nice time sitting at home Buy now buy now buy now!!!,1.0,1,synthetic_suspicious_augmented
"Worst scam ever avoid this now!!! This kitchen blender is incredible. Terrible terrible terrible, do not ask questions. Buy now and thank me later!!!",1.0,1,synthetic_suspicious_template
Absolutely amazing!!! creamy grape is perfect and 100% recommended!!! Creamy Grape Salad Nasty Doesn 39 t taste good unless you put Buy now buy now buy now!!!,5.0,1,synthetic_suspicious_augmented
"This traveler usually gives higher ratings to juice bars, art galleries, gardens, while gyms, swimming pools receive lower scores. The preference pattern looks detailed and organic.",1.9691666666666665,0,uci_travel_review_ratings_485
Perfect product 100% recommended!!! This vacuum cleaner is incredible. Everyone must buy this right now. Buy now and thank me later!!!,5.0,1,synthetic_suspicious_template
Perfect product 100% recommended!!! This power bank is incredible. Five stars five stars five stars!!! Totally the best product online!!!,1.0,1,synthetic_suspicious_template
"en sevdiğim koukudur bu,muhteşem bir duygu veriyor insana.pek çok parfüm kullandım hatta genelde dior kullanırım ama bu parfümü tek geçerim.indirimde olduğunu görünce hemen aldım,50 ml olanıda indirime girerse onuda alacağım,hepsiburada.com a bize böyle fırsatlar sunduğu için teşekkür ediyorum.",0.0,0,turkish_user_reviews
Best purchase ever!!! Cauliflower Soup Good stuff even people who are afraid to eat cauliflower Cauliflower Soup Good stuff even people who are afraid to eat cauliflower Five stars five stars five stars!!!,1.0,1,synthetic_suspicious_augmented
"Best purchase ever!!! This coffee machine is incredible. No details needed, just trust me and order it. Buy now and thank me later!!!",5.0,1,synthetic_suspicious_template
Perfect product 100% recommended!!! This vacuum cleaner is incredible. Five stars five stars five stars!!! Use my recommendation and do not hesitate!!!,5.0,1,synthetic_suspicious_template
telefon güzel herkese tavsiye ederim kamerası 10 numara bence alın tavsiye derim hem ucuz hem güzel,0.0,0,turkish_user_reviews
Best purchase ever!!! This gaming headset is incredible. This changed my life instantly and forever. Totally the best product online!!!,5.0,1,synthetic_suspicious_template
Best purchase ever!!! Seafood Lasagna I made this for my family for Valentines Day very Seafood Lasagna I made this for my family for Valentines Day very Five stars five stars five stars!!!,1.0,1,synthetic_suspicious_augmented
Best purchase ever!!! Favorite Chicken Potpie This turned out so good I did a few Favorite Chicken Potpie This turned out so good I did a few Five stars five stars five stars!!!,1.0,1,synthetic_suspicious_augmented
Simple Taco Soup. The soup is supper easy. Our church does a fund raiser making soup and I have made this for the event and it was well received,5.0,0,uci_recipe_reviews_911
"Anneme anneler günü hediyesi olarak almıştım. Bir kere çok hızlı eline geçti, bunun için teşekkür ederiz. Üründen de çok memnun kaldık. Fiyat avantajı annemi mutlu etmeye vesile oldu. Tekrar teşekkürler hepsiburada.",0.0,0,turkish_user_reviews
"Absolutely amazing!!! This wireless mouse is incredible. Terrible terrible terrible, do not ask questions. I did not even try it long but it is perfect!!!",5.0,1,synthetic_suspicious_template
Best purchase ever!!! This phone case is incredible. Everyone must buy this right now. This is the only review you need!!!,1.0,1,synthetic_suspicious_template
Mükemmel Bir Telefon Herkese Tercihim Ben Aldım :D,0.0,0,turkish_user_reviews
